matricula_id,pre_matricula_id,inscrito_id,lead_id,data_matricula,valor_matricula,etapa
54,54,54,54,2026-02-23,1083,Matricula
55,55,55,55,2026-04-29,3811,Matricula
56,56,56,56,2026-01-30,992,Matricula
57,57,57,57,2026-05-04,2305,Matricula
58,58,58,58,2026-04-08,1347,Matricula
59,59,59,59,2026-04-12,4177,Matricula
60,60,60,60,2026-02-06,3933,Matricula
61,61,61,61,2026-02-16,3013,Matricula
62,62,62,62,2026-02-07,3160,Matricula
63,63,63,63,2026-02-05,2255,Matricula
64,64,64,64,2026-03-28,2646,Matricula
65,65,65,65,2026-05-18,2792,Matricula
66,66,66,66,2026-02-14,4167,Matricula
67,67,67,67,2026-03-08,3479,Matricula
68,68,68,68,2026-02-08,1663,Matricula
69,69,69,69,2026-04-07,3592,Matricula
70,70,70,70,2026-03-12,2520,Matricula
71,71,71,71,2026-01-19,3920,Matricula
72,72,72,72,2026-04-04,1708,Matricula
73,73,73,73,2026-03-14,3325,Matricula
74,74,74,74,2026-03-11,2492,Matricula
75,75,75,75,2026-01-16,3786,Matricula
76,76,76,76,2026-02-12,1742,Matricula
77,77,77,77,2026-02-20,3981,Matricula
78,78,78,78,2026-04-16,4160,Matricula
79,79,79,79,2026-01-24,3264,Matricula
80,80,80,80,2026-01-29,4174,Matricula
81,81,81,81,2026-05-07,3099,Matricula
82,82,82,82,2026-02-08,2398,Matricula
83,83,83,83,2026-02-26,1707,Matricula
84,84,84,84,2026-03-15,1366,Matricula
85,85,85,85,2026-02-18,3647,Matricula
86,86,86,86,2026-05-06,2904,Matricula
87,87,87,87,2026-03-24,3517,Matricula
88,88,88,88,2026-02-25,3345,Matricula
89,89,89,89,2026-03-06,3403,Matricula
90,90,90,90,2026-03-07,3304,Matricula
91,91,91,91,2026-01-30,2325,Matricula
92,92,92,92,2026-03-02,2775,Matricula
93,93,93,93,2026-04-05,1606,Matricula
94,94,94,94,2026-04-30,3659,Matricula
95,95,95,95,2026-04-16,4179,Matricula
96,96,96,96,2026-02-23,3416,Matricula
97,97,97,97,2026-04-01,1247,Matricula
98,98,98,98,2026-04-12,1448,Matricula
99,99,99,99,2026-02-25,1382,Matricula
100,100,100,100,2026-02-15,2150,Matricula
101,101,101,101,2026-01-30,1649,Matricula
102,102,102,102,2026-03-04,3740,Matricula
103,103,103,103,2026-02-03,2992,Matricula
104,104,104,104,2026-03-06,2613,Matricula
105,105,105,105,2026-04-02,1464,Matricula
106,106,106,106,2026-03-30,2471,Matricula
107,107,107,107,2026-03-11,1660,Matricula
108,108,108,108,2026-03-19,3503,Matricula
109,109,109,109,2026-03-25,3740,Matricula
110,110,110,110,2026-05-13,3542,Matricula
111,111,111,111,2026-05-15,1609,Matricula
112,112,112,112,2026-03-28,1583,Matricula
113,113,113,113,2026-03-19,2083,Matricula
114,114,114,114,2026-02-02,1666,Matricula
115,115,115,115,2026-02-25,2747,Matricula
116,116,116,116,2026-04-05,1119,Matricula
117,117,117,117,2026-05-06,2370,Matricula
118,118,118,118,2026-05-17,939,Matricula
119,119,119,119,2026-03-19,1459,Matricula
120,120,120,120,2026-02-09,2472,Matricula
121,121,121,121,2026-05-19,3200,Matricula
122,122,122,122,2026-03-21,3574,Matricula
123,123,123,123,2026-03-20,2575,Matricula
124,124,124,124,2026-04-13,2914,Matricula
125,125,125,125,2026-03-10,3808,Matricula
126,126,126,126,2026-05-03,2718,Matricula
127,127,127,127,2026-03-19,1585,Matricula
128,128,128,128,2026-01-26,3215,Matricula
129,129,129,129,2026-01-19,4159,Matricula
130,130,130,130,2026-04-23,1803,Matricula
131,131,131,131,2026-02-22,1033,Matricula
132,132,132,132,2026-02-20,1820,Matricula
133,133,133,133,2026-03-25,2082,Matricula
134,134,134,134,2026-02-06,4097,Matricula
135,135,135,135,2026-03-15,3216,Matricula
136,136,136,136,2026-04-21,4064,Matricula
137,137,137,137,2026-04-24,2928,Matricula
138,138,138,138,2026-03-27,2992,Matricula
139,139,139,139,2026-01-30,3245,Matricula
140,140,140,140,2026-01-30,1997,Matricula
141,141,141,141,2026-04-25,3124,Matricula
142,142,142,142,2026-05-01,2402,Matricula
143,143,143,143,2026-03-26,3999,Matricula
144,144,144,144,2026-01-21,4012,Matricula
145,145,145,145,2026-04-18,2707,Matricula
146,146,146,146,2026-03-26,1795,Matricula
147,147,147,147,2026-03-11,1319,Matricula
148,148,148,148,2026-04-20,3577,Matricula
149,149,149,149,2026-04-22,1913,Matricula
150,150,150,150,2026-02-23,1032,Matricula
151,151,151,151,2026-03-14,1976,Matricula
152,152,152,152,2026-03-01,1256,Matricula
153,153,153,153,2026-03-13,1380,Matricula
154,154,154,154,2026-04-25,1870,Matricula
155,155,155,155,2026-02-11,3921,Matricula
156,156,156,156,2026-04-01,3722,Matricula
157,157,157,157,2026-03-01,3811,Matricula
158,158,158,158,2026-04-04,3491,Matricula
159,159,159,159,2026-03-11,1579,Matricula
160,160,160,160,2026-04-04,1470,Matricula
161,161,161,161,2026-04-26,1746,Matricula
162,162,162,162,2026-04-30,1747,Matricula
163,163,163,163,2026-04-29,1143,Matricula
164,164,164,164,2026-03-29,2336,Matricula
165,165,165,165,2026-03-25,2051,Matricula
166,166,166,166,2026-04-02,3106,Matricula
167,167,167,167,2026-02-06,2225,Matricula
168,168,168,168,2026-05-21,3783,Matricula
169,169,169,169,2026-02-22,2085,Matricula
170,170,170,170,2026-03-30,1995,Matricula
171,171,171,171,2026-05-17,3007,Matricula
172,172,172,172,2026-05-11,3682,Matricula
173,173,173,173,2026-04-30,1290,Matricula
174,174,174,174,2026-02-02,3972,Matricula
175,175,175,175,2026-04-26,2585,Matricula
176,176,176,176,2026-05-13,1142,Matricula
177,177,177,177,2026-02-20,3586,Matricula
178,178,178,178,2026-02-01,3773,Matricula
179,179,179,179,2026-05-06,1443,Matricula
180,180,180,180,2026-02-16,1499,Matricula
