pre_matricula_id,inscrito_id,lead_id,data_pre_matricula,etapa
173,173,173,09/04/2026,Pre_Matricula
174,174,174,05/02/2026,Pre_Matricula
175,175,175,13/03/2026,Pre_Matricula
176,176,176,20/02/2026,Pre_Matricula
177,177,177,02/02/2026,Pre_Matricula
178,178,178,02/03/2026,Pre_Matricula
179,179,179,20/02/2026,Pre_Matricula
180,180,180,17/02/2026,Pre_Matricula
181,181,181,15/04/2026,Pre_Matricula
182,182,182,09/04/2026,Pre_Matricula
183,183,183,02/04/2026,Pre_Matricula
184,184,184,14/03/2026,Pre_Matricula
185,185,185,25/03/2026,Pre_Matricula
186,186,186,21/04/2026,Pre_Matricula
187,187,187,11/02/2026,Pre_Matricula
188,188,188,21/02/2026,Pre_Matricula
189,189,189,28/02/2026,Pre_Matricula
190,190,190,15/02/2026,Pre_Matricula
191,191,191,25/04/2026,Pre_Matricula
192,192,192,21/04/2026,Pre_Matricula
193,193,193,02/03/2026,Pre_Matricula
194,194,194,26/02/2026,Pre_Matricula
195,195,195,25/01/2026,Pre_Matricula
196,196,196,10/05/2026,Pre_Matricula
197,197,197,24/03/2026,Pre_Matricula
198,198,198,05/02/2026,Pre_Matricula
199,199,199,27/03/2026,Pre_Matricula
200,200,200,21/03/2026,Pre_Matricula
201,201,201,03/02/2026,Pre_Matricula
202,202,202,08/04/2026,Pre_Matricula
203,203,203,19/04/2026,Pre_Matricula
204,204,204,22/03/2026,Pre_Matricula
205,205,205,14/01/2026,Pre_Matricula
206,206,206,14/04/2026,Pre_Matricula
207,207,207,11/03/2026,Pre_Matricula
208,208,208,11/05/2026,Pre_Matricula
209,209,209,11/04/2026,Pre_Matricula
210,210,210,06/02/2026,Pre_Matricula
211,211,211,08/03/2026,Pre_Matricula
212,212,212,23/04/2026,Pre_Matricula
213,213,213,17/02/2026,Pre_Matricula
214,214,214,27/04/2026,Pre_Matricula
215,215,215,09/04/2026,Pre_Matricula
216,216,216,19/01/2026,Pre_Matricula
217,217,217,25/04/2026,Pre_Matricula
218,218,218,29/04/2026,Pre_Matricula
219,219,219,22/04/2026,Pre_Matricula
220,220,220,22/04/2026,Pre_Matricula
